brewer.divdiv,brewer.divdiv-Deuteranopia,brewer.divdiv-Protanopia,brewer.divdiv-Tritanopia,brewer.divseq,brewer.divseq-Deuteranopia,brewer.divseq-Protanopia,brewer.divseq-Tritanopia,brewer.qualseq,brewer.qualseq-Deuteranopia,brewer.qualseq-Protanopia,brewer.qualseq-Tritanopia,brewer.seqseq1,brewer.seqseq1-Deuteranopia,brewer.seqseq1-Protanopia,brewer.seqseq1-Tritanopia,brewer.seqseq2,brewer.seqseq2-Deuteranopia,brewer.seqseq2-Protanopia,brewer.seqseq2-Tritanopia,census.blueyellow,census.blueyellow-Deuteranopia,census.blueyellow-Protanopia,census.blueyellow-Tritanopia,stevens.bluered,stevens.bluered-Deuteranopia,stevens.bluered-Protanopia,stevens.bluered-Tritanopia,stevens.greenblue,stevens.greenblue-Deuteranopia,stevens.greenblue-Protanopia,stevens.greenblue-Tritanopia,stevens.pinkblue,stevens.pinkblue-Deuteranopia,stevens.pinkblue-Protanopia,stevens.pinkblue-Tritanopia,stevens.pinkgreen,stevens.pinkgreen-Deuteranopia,stevens.pinkgreen-Protanopia,stevens.pinkgreen-Tritanopia,stevens.purplegold,stevens.purplegold-Deuteranopia,stevens.purplegold-Protanopia,stevens.purplegold-Tritanopia
#f37300,#BC9102,#9E7600,#FF5750,#c3b3d8,#B0B9D6,#ADB8D9,#C0B7BE,#cce8d7,#E1DFD7,#E7E3D6,#C7E7E2,#e8e6f2,#E3E7F1,#E3E7F2,#E6E7E9,#f3f3f3,#F3F2F3,#F3F3F3,#F2F3F3,#fffdef,#FFFCEF,#FFFBEE,#FFFAF8,#e8e8e8,#E8E7E8,#E8E8E8,#E7E8E7,#e8e8e8,#E8E7E8,#E8E8E8,#E7E8E7,#e8e8e8,#E8E7E8,#E8E8E8,#E7E8E7,#f3f3f3,#F3F2F3,#F3F3F3,#F2F3F3,#e8e8e8,#E8E7E8,#E8E8E8,#E7E8E7
#cce88b,#F2DB8E,#F6DB86,#D5DCCB,#e6e6e6,#E6E5E6,#E6E6E6,#E6E6E5,#cedced,#D2D8EC,#D6DCED,#C7DFE1,#b5d3e7,#C3CBE6,#CAD1E8,#A9D8D8,#b4d3e1,#C4CAE0,#CBD0E1,#A9D7D7,#fef3a9,#FFF2AB,#FFECA5,#FFE7DC,#e4acac,#C0BBAB,#B4B2AB,#F2A7AC,#b5c0da,#B6BED9,#B8C1DB,#ADC4C7,#ace4e4,#CFD4E4,#DBDDE4,#9DE8E3,#c2f1ce,#E7E2CF,#F1E8CC,#BCEFE6,#e4d9ac,#E7D9AD,#E3D5A9,#EED1CB
#008837,#685E3B,#837033,#00866E,#ffcc80,#F0D681,#E3CA7B,#FFBCB5,#fbb4d9,#C5C9D7,#B7BFDA,#FFB3BF,#4fadd0,#8294D0,#97A5D2,#30B9B7,#509dc2,#7889C1,#8997C4,#35A8A7,#efd100,#FFCF06,#FFBF00,#FFAF91,#c85a5a,#827858,#6A6659,#E4515A,#6c83b5,#6F7EB3,#7585B7,#5D8C92,#5ac8c8,#9FA9C9,#B7BBC8,#3DD0C7,#8be2af,#CDC7B1,#DFD2AC,#7DE1D2,#c8b35a,#CFB45C,#C8AC55,#DDA498
#fe9aa6,#BBB6A4,#A6A6A6,#FF939E,#7b67ab,#5E6FA8,#5C70AE,#736F7B,#80c39b,#B3AE9D,#C0B799,#76C2B6,#e5b4d9,#BDC3D7,#B3BDDA,#EAB5BF,#f3e6b3,#F6E7B4,#F2E2B0,#FFDDD6,#e6f1df,#F1EDDF,#F3EDDE,#E6EFEB,#b0d5df,#C5CBDF,#CDD1DF,#A4D9D7,#b8d6be,#D0CCBF,#D6D0BC,#B4D4CE,#dfb0d6,#B8BED4,#AFB9D7,#E4B1BB,#eac5dd,#CDD0DB,#C5CBDE,#EFC5CC,#cbb8d7,#B7BED5,#B4BDD8,#CABBC1
#e6e6e6,#E6E5E6,#E6E6E6,#E6E6E5,#bfbfbf,#BFBEBF,#BFBFBF,#BEBFBF,#85a8d0,#92A0CF,#9AA7D2,#74B0B3,#b8b3d8,#ACB6D6,#ACB7D9,#B2B8BE,#b3b3b3,#B3B2B3,#B3B2B3,#B3B3B3,#bedebc,#D9D3BD,#E0D6BA,#BBDBD3,#ad9ea5,#A1A2A4,#9EA0A5,#AF9DA0,#90b2b3,#A5A8B3,#ACAEB3,#87B4B2,#a5add3,#A1ACD1,#A3AFD5,#9CB3B8,#9ec6d3,#B4BBD3,#BDC2D3,#91CBC9,#c8ada0,#B9B3A0,#B3AE9F,#D1A8A9
#9ac9d5,#B5BCD5,#BFC4D5,#8BCECC,#f35926,#9D8125,#7A6522,#FF454A,#f668b3,#8B93AE,#6E7FB6,#FF677F,#3983bb,#5B70BA,#6C80BE,#1C9193,#376387,#4A5886,#546189,#256B6D,#4eb87b,#9E977E,#B4A578,#3DB7A4,#985356,#6B6655,#5C5B55,#A94E54,#567994,#657093,#6E7795,#487F81,#5698b9,#7887B8,#8793BA,#3FA2A1,#7fc6b1,#B0B1B2,#BFBBB0,#70C8BF,#af8e53,#A79454,#9F8B4F,#C1827C
#f0047f,#3E4B78,#0E2B84,#FF032A,#240d5e,#02175B,#001762,#1B1725,#008837,#685E3B,#837033,#00866E,#de4fa6,#6F7BA1,#5268A9,#F2506A,#f3b300,#F3BC04,#E1A800,#FF937C,#d2e4f6,#D9DFF5,#DDE3F7,#CAE8E9,#64acbe,#8D98BE,#9DA5BF,#4EB4B1,#73ae80,#A29B82,#AEA27D,#6CAB9F,#be64ac,#7480A8,#6275AF,#C8677A,#e6a3d0,#B1B7CD,#A3AFD2,#EFA4B0,#9972af,#727FAC,#6B7CB2,#987784
#cd9acc,#A1AAC9,#97A4CE,#D19DA9,#7f7f7f,#7E7E7F,#7F7F7F,#7F7F7E,#0a50a1,#23409F,#3450A5,#006168,#b03598,#4B5C93,#334C9C,#BD3953,#b36600,#997602,#866400,#D85047,#a1c8ea,#B1BEE9,#BBC6EB,#90D0D2,#627f8c,#71778B,#777C8C,#588382,#5a9178,#828079,#8D8876,#509189,#8c62aa,#6171A7,#596DAD,#896978,#bc9fce,#9EA9CC,#99A6D0,#BBA3AD,#976b82,#757880,#6C7283,#9E6A72
#5a4da4,#3D54A1,#3D57A8,#4D5867,#b30000,#413200,#1B1400,#E00000,#d60066,#374060,#0B226A,#FA0020,#2a1a8a,#062386,#05268F,#1A293C,#000000,#000000,#000000,#000000,#007fc4,#405EC3,#5D77C8,#009393,#574249,#484848,#434549,#5B4144,#2a5a5b,#484C5B,#52545B,#1D5D5A,#3b4994,#324891,#374E97,#2A555F,#7b8eaf,#7F8AAE,#848FB0,#709497,#804d36,#645A36,#595034,#914546
